icon_id,method,variant,k,cluster,quality_score
2e640ae7d0fdf443,kmeans,image,3,2,0.48288
c9eae4ccfb329389,kmeans,image,3,2,0.48288
03a2b61645ccb834,kmeans,image,3,2,0.48288
09dd16f828b6f7f2,kmeans,image,3,1,0.48288
c133c064a2ef2993,kmeans,image,3,2,0.48288
b7f360bbec980699,kmeans,image,3,2,0.48288
5745a41760f3e697,kmeans,image,3,2,0.48288
7adb195617e7d807,kmeans,image,3,2,0.48288
f8666ea50de7110e,kmeans,image,3,2,0.48288
8e0a20fadbcbdd58,kmeans,image,3,2,0.48288
a24cff2a010fd953,kmeans,image,3,2,0.48288
956c90f729f60c60,kmeans,image,3,2,0.48288
f1c37bc051fbda70,kmeans,image,3,2,0.48288
474c426ac73a06b7,kmeans,image,3,2,0.48288
c6d431f31b6ec59b,kmeans,image,3,2,0.48288
f1cd0e53f62b488c,kmeans,image,3,2,0.48288
3a974930d9f5a3d9,kmeans,image,3,2,0.48288
c886cf62317f691a,kmeans,image,3,2,0.48288
ce58aa96f15b05b1,kmeans,image,3,2,0.48288
28bd36f1c69d6141,kmeans,image,3,2,0.48288
38fcc454e8b76e8a,kmeans,image,3,2,0.48288
1767b051e842b470,kmeans,image,3,1,0.48288
671222e19754e444,kmeans,image,3,2,0.48288
cd6253a30ae401c4,kmeans,image,3,2,0.48288
f88452b9ec9d4596,kmeans,image,3,2,0.48288
d49b650b98139110,kmeans,image,3,0,0.48288
b7382424c18c5978,kmeans,image,3,2,0.48288
1364c5b7cd9ecbbf,kmeans,image,3,2,0.48288
280c01ef84d29c92,kmeans,image,3,2,0.48288
eb80d959661c129a,kmeans,image,3,2,0.48288
1c704e838287970e,kmeans,image,3,2,0.48288
9ea0543cdc729b43,kmeans,image,3,2,0.48288
9b74d2600f4109ef,kmeans,image,3,2,0.48288
c7c869c80e33e3be,kmeans,image,3,2,0.48288
93743bfff70b23b6,kmeans,image,3,2,0.48288
7ef9d1f095f4e482,kmeans,image,3,2,0.48288
9515275c5d1db56d,kmeans,image,3,2,0.48288
6aa7719d116ca7e3,kmeans,image,3,2,0.48288
ed13f562f8b87324,kmeans,image,3,2,0.48288
690b166f2414f9c0,kmeans,image,3,2,0.48288
1e9d0ae2bdf1af2e,kmeans,image,3,2,0.48288
3a2cb4f434a8a064,kmeans,image,3,0,0.48288
35d681a0179bf001,kmeans,image,3,2,0.48288
28c35379d03db47f,kmeans,image,3,2,0.48288
ba21616ece836b9d,kmeans,image,3,2,0.48288
d194bf8c78734d43,kmeans,image,3,2,0.48288
522558cd07f7a859,kmeans,image,3,2,0.48288
