method,variant,k,cluster,size,top_sets,representative_icon_ids
kmeans,image,3,0,80,"[[""Mulberry Symbols"", 10], [""ARASAAC Pictograms"", 10], [""ISO 15223 Medical Device Symbols"", 10], [""McDougall Symbol/Icon Set"", 9], [""AIGA/DOT Symbol Signs"", 9]]",34ba5b6f56c34d2d 47e3bd73efa382ae bd7774dcad9acd79 59f7cf4b24c41dc4 e0760c68f28e0892 3167ff62be4a1ae7 d35e50aec0a064c5 a51195a2d92d9ff2
kmeans,image,3,1,47,"[[""ISO 7010 Safety Signs"", 10], [""USP Pictograms"", 10], [""Blissymbolics"", 8], [""OCHA Humanitarian Icons"", 6], [""Universal Symbols Healthcare Webfont"", 6]]",0f0ba10ef3a52533 672c5ac5c05045ac f3ac148d14f99a51 3ae85d1803f6fd0e 5d96dfc9b1190032 8eb2ae5e436bf3d9 9b513da0bbf6fec5 1bf6d6502e22fd36
kmeans,image,3,2,2,"[[""McDougall Symbol/Icon Set"", 1], [""GHS Hazard Pictograms"", 1]]",38fcc454e8b76e8a 832f13e7c3d03100
kmeans,image,5,0,29,"[[""McDougall Symbol/Icon Set"", 6], [""AIGA/DOT Symbol Signs"", 5], [""OpenMoji"", 5], [""Mulberry Symbols"", 4], [""GHS Hazard Pictograms"", 4]]",2dfb8baa45944a16 3167ff62be4a1ae7 7cb54d2ffd287b95 951be4fa343dfcc3 d35e50aec0a064c5 960c8c87ff30f1bf 9099811c08fecfa1 59f7cf4b24c41dc4
kmeans,image,5,1,17,"[[""ISO 15223 Medical Device Symbols"", 8], [""McDougall Symbol/Icon Set"", 4], [""GHS Hazard Pictograms"", 3], [""AIGA/DOT Symbol Signs"", 1], [""Blissymbolics"", 1]]",b566cf363514b2ce 9875309b29ecca62 671222e19754e444 397929e89a5a2bf0 276e0f48b2aecf30 e6e2d33ceb0e83af d176e3613fd2e8ca f1c82e0e3033e0f2
kmeans,image,5,2,35,"[[""Mapbox Maki"", 10], [""Mulberry Symbols"", 5], [""Universal Symbols Healthcare Webfont"", 5], [""OpenMoji"", 5], [""AIGA/DOT Symbol Signs"", 4]]",633d125136da3e33 bd7774dcad9acd79 ca282d9b8d67354b e0760c68f28e0892 34ba5b6f56c34d2d c4317c54e3675826 e0d2e112cc0df560 bbdb16044679062a
kmeans,image,5,3,37,"[[""ISO 7010 Safety Signs"", 10], [""USP Pictograms"", 10], [""Blissymbolics"", 7], [""OCHA Humanitarian Icons"", 6], [""Universal Symbols Healthcare Webfont"", 3]]",3ae85d1803f6fd0e 672c5ac5c05045ac f3ac148d14f99a51 5d96dfc9b1190032 8eb2ae5e436bf3d9 0f0ba10ef3a52533 969d2464f703154e b8d532b96649ad9b
kmeans,image,5,4,11,"[[""ARASAAC Pictograms"", 5], [""Universal Symbols Healthcare Webfont"", 2], [""ISO 15223 Medical Device Symbols"", 2], [""Mulberry Symbols"", 1], [""GHS Hazard Pictograms"", 1]]",31f94ec85b9130e2 f81f3d24abe2590e cad61736ae362480 ab45fc2620cc66ce a8150b5836fa8340 ab4c6a5c76f157ea 0db27129c0b71a97 255623028b70fd39
kmeans,image,7,0,18,"[[""Mulberry Symbols"", 8], [""OpenMoji"", 6], [""McDougall Symbol/Icon Set"", 2], [""ARASAAC Pictograms"", 2]]",9099811c08fecfa1 960c8c87ff30f1bf 34ba5b6f56c34d2d 6d73856e7180fb8d f3b6090794574209 7cb54d2ffd287b95 0a8d3ea6a14b7694 f81f3d24abe2590e
kmeans,image,7,1,7,"[[""ARASAAC Pictograms"", 5], [""Universal Symbols Healthcare Webfont"", 1], [""OpenMoji"", 1]]",ab4c6a5c76f157ea 255623028b70fd39 52c97289f9c9f6dc a8150b5836fa8340 31f94ec85b9130e2 709929ff886fee1d 97bbfcfc069b7629
