rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
1,0.0,28786d99b5925991,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga leftarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_leftarrow__28786d99b592.png,8d956b8fd66bfd40,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga uparrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_uparrow__8d956b8fd66b.png
2,0.0,2f0595c15be511d7,10_openmoji,OpenMoji,flag: Aruba,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e6_1f1fc__2f0595c15be5.png,e6d5c3c396e54b89,10_openmoji,OpenMoji,flag: Bangladesh,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1e9__e6d5c3c396e5.png
3,0.0,56fca77111ffbd13,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga rightanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_rightanddownarrow__56fca77111ff.png,a8caa064219d1a01,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandleftarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandleftarrow__a8caa064219d.png
4,0.0,56fca77111ffbd13,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga rightanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_rightanddownarrow__56fca77111ff.png,a92f8680959133bd,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga leftanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_leftanddownarrow__a92f86809591.png
5,0.0,56fca77111ffbd13,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga rightanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_rightanddownarrow__56fca77111ff.png,eeb6b3cdd0343f66,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandrightarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandrightarrow__eeb6b3cdd034.png
6,0.0,7f5e1062793c8e1d,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga downarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_downarrow__7f5e1062793c.png,d8304814c8c214ff,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga rightarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_rightarrow__d8304814c8c2.png
7,0.0,9519036bb21ea4a8,10_openmoji,OpenMoji,keycap: 2,symbols / keycap,icon_data/normalized_256/10_openmoji/0032_fe0f_20e3__9519036bb21e.png,cdbf6f4d8199a8ff,10_openmoji,OpenMoji,keycap: *,symbols / keycap,icon_data/normalized_256/10_openmoji/002a_fe0f_20e3__cdbf6f4d8199.png
8,0.0,a8caa064219d1a01,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandleftarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandleftarrow__a8caa064219d.png,a92f8680959133bd,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga leftanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_leftanddownarrow__a92f86809591.png
9,0.0,a8caa064219d1a01,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandleftarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandleftarrow__a8caa064219d.png,eeb6b3cdd0343f66,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandrightarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandrightarrow__eeb6b3cdd034.png
10,0.0,a92f8680959133bd,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga leftanddownarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_leftanddownarrow__a92f86809591.png,eeb6b3cdd0343f66,02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,Aiga forwardandrightarrow,,icon_data/normalized_256/02_aiga_dot_symbol_signs/aiga_forwardandrightarrow__eeb6b3cdd034.png
