rank,distance,source_icon_id,source_set_id,source_set_name,source_label,source_category,source_normalized_path,target_icon_id,target_set_id,target_set_name,target_label,target_category,target_normalized_path
1,0.8804847506000563,001f166bc321b01b,10_openmoji,OpenMoji,flag: Bulgaria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1ec__001f166bc321.png,db880bbd1926c28f,10_openmoji,OpenMoji,flag: Czechia,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e8_1f1ff__db880bbd1926.png
2,0.8957599123322455,001f166bc321b01b,10_openmoji,OpenMoji,flag: Bulgaria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1ec__001f166bc321.png,6119509f0e444763,10_openmoji,OpenMoji,flag: Chile,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e8_1f1f1__6119509f0e44.png
3,0.9700137159980203,001f166bc321b01b,10_openmoji,OpenMoji,flag: Bulgaria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1ec__001f166bc321.png,9cc38dad3f1ec018,10_openmoji,OpenMoji,flag: Austria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e6_1f1f9__9cc38dad3f1e.png
4,1.0435077084467992,001f166bc321b01b,10_openmoji,OpenMoji,flag: Bulgaria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1ec__001f166bc321.png,4a1b6ca0afb93272,10_openmoji,OpenMoji,flag: Côte d’Ivoire,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e8_1f1ee__4a1b6ca0afb9.png
5,1.1010328207337639,001f166bc321b01b,10_openmoji,OpenMoji,flag: Bulgaria,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e7_1f1ec__001f166bc321.png,b9643635f7031789,10_openmoji,OpenMoji,flag: Clipperton Island,flags / country-flag,icon_data/normalized_256/10_openmoji/1f1e8_1f1f5__b9643635f703.png
1,1.5241950571218237,00437ce612e4c7ef,10_openmoji,OpenMoji,joker,activities / game,icon_data/normalized_256/10_openmoji/1f0cf__00437ce612e4.png,edfba09a2c1e1d80,05_mulberry_symbols,Mulberry Symbols,acne spots,iconsets,icon_data/normalized_256/05_mulberry_symbols/acne_spots__edfba09a2c1e.png
2,1.5330840883361563,00437ce612e4c7ef,10_openmoji,OpenMoji,joker,activities / game,icon_data/normalized_256/10_openmoji/1f0cf__00437ce612e4.png,5c0453002753f864,05_mulberry_symbols,Mulberry Symbols,Christmas pudding,iconsets,icon_data/normalized_256/05_mulberry_symbols/christmas_pudding__5c0453002753.png
3,1.5771487257857992,00437ce612e4c7ef,10_openmoji,OpenMoji,joker,activities / game,icon_data/normalized_256/10_openmoji/1f0cf__00437ce612e4.png,5d6e4a785578ca47,07_arasaac_pictograms,ARASAAC Pictograms,oven,electrical appliance; cookery,icon_data/normalized_256/07_arasaac_pictograms/10135__5d6e4a785578.png
4,1.5989352822572858,00437ce612e4c7ef,10_openmoji,OpenMoji,joker,activities / game,icon_data/normalized_256/10_openmoji/1f0cf__00437ce612e4.png,f5a2afb4a116927b,10_openmoji,OpenMoji,keycap: #,symbols / keycap,icon_data/normalized_256/10_openmoji/0023_fe0f_20e3__f5a2afb4a116.png
5,1.6129951265924787,00437ce612e4c7ef,10_openmoji,OpenMoji,joker,activities / game,icon_data/normalized_256/10_openmoji/1f0cf__00437ce612e4.png,c775760930f1a497,05_mulberry_symbols,Mulberry Symbols,Neptune,iconsets,icon_data/normalized_256/05_mulberry_symbols/neptune__c775760930f1.png
1,1.0864040257137695,0050c13101710bb3,03_mapbox_maki_icons,Mapbox Maki,construction,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/construction__0050c1310171.png,6ed6ebc936f61661,03_mapbox_maki_icons,Mapbox Maki,caution,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/caution__6ed6ebc936f6.png
2,1.1139213717158911,0050c13101710bb3,03_mapbox_maki_icons,Mapbox Maki,construction,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/construction__0050c1310171.png,315c1a46ae0e5e14,03_mapbox_maki_icons,Mapbox Maki,cemetery,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/cemetery__315c1a46ae0e.png
3,1.160828679162447,0050c13101710bb3,03_mapbox_maki_icons,Mapbox Maki,construction,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/construction__0050c1310171.png,01b3d2f16631c2ed,09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,i coffee shop,healthcare wayfinding,icon_data/normalized_256/09_universal_symbols_healthcare_webfont/i_coffee_shop__01b3d2f16631.png
4,1.2054579516749626,0050c13101710bb3,03_mapbox_maki_icons,Mapbox Maki,construction,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/construction__0050c1310171.png,51d80cf1656e9432,03_mapbox_maki_icons,Mapbox Maki,campsite,cartography / point of interest,icon_data/normalized_256/03_mapbox_maki_icons/campsite__51d80cf1656e.png
