set_id,set_name,foreground_area_ratio_count,foreground_area_ratio_mean,foreground_area_ratio_median,foreground_area_ratio_std,foreground_area_ratio_min,foreground_area_ratio_max,canny_edge_density_count,canny_edge_density_mean,canny_edge_density_median,canny_edge_density_std,canny_edge_density_min,canny_edge_density_max,connected_components_count,connected_components_mean,connected_components_median,connected_components_std,connected_components_min,connected_components_max,quadtree_leaf_count_count,quadtree_leaf_count_mean,quadtree_leaf_count_median,quadtree_leaf_count_std,quadtree_leaf_count_min,quadtree_leaf_count_max,quadtree_structural_variability_count,quadtree_structural_variability_mean,quadtree_structural_variability_median,quadtree_structural_variability_std,quadtree_structural_variability_min,quadtree_structural_variability_max,quadtree_mean_leaf_size_count,quadtree_mean_leaf_size_mean,quadtree_mean_leaf_size_median,quadtree_mean_leaf_size_std,quadtree_mean_leaf_size_min,quadtree_mean_leaf_size_max,bounding_box_occupancy_count,bounding_box_occupancy_mean,bounding_box_occupancy_median,bounding_box_occupancy_std,bounding_box_occupancy_min,bounding_box_occupancy_max,bounding_box_aspect_ratio_count,bounding_box_aspect_ratio_mean,bounding_box_aspect_ratio_median,bounding_box_aspect_ratio_std,bounding_box_aspect_ratio_min,bounding_box_aspect_ratio_max,solidity_count,solidity_mean,solidity_median,solidity_std,solidity_min,solidity_max,centroid_distance_from_center_count,centroid_distance_from_center_mean,centroid_distance_from_center_median,centroid_distance_from_center_std,centroid_distance_from_center_min,centroid_distance_from_center_max,horizontal_symmetry_count,horizontal_symmetry_mean,horizontal_symmetry_median,horizontal_symmetry_std,horizontal_symmetry_min,horizontal_symmetry_max,vertical_symmetry_count,vertical_symmetry_mean,vertical_symmetry_median,vertical_symmetry_std,vertical_symmetry_min,vertical_symmetry_max,perimeter_area_ratio_count,perimeter_area_ratio_mean,perimeter_area_ratio_median,perimeter_area_ratio_std,perimeter_area_ratio_min,perimeter_area_ratio_max,filled_vs_outline_proxy_count,filled_vs_outline_proxy_mean,filled_vs_outline_proxy_median,filled_vs_outline_proxy_std,filled_vs_outline_proxy_min,filled_vs_outline_proxy_max,contour_count_count,contour_count_mean,contour_count_median,contour_count_std,contour_count_min,contour_count_max,holes_count_count,holes_count_mean,holes_count_median,holes_count_std,holes_count_min,holes_count_max,closed_contour_ratio_count,closed_contour_ratio_mean,closed_contour_ratio_median,closed_contour_ratio_std,closed_contour_ratio_min,closed_contour_ratio_max,line_orientation_0_count,line_orientation_0_mean,line_orientation_0_median,line_orientation_0_std,line_orientation_0_min,line_orientation_0_max,line_orientation_45_count,line_orientation_45_mean,line_orientation_45_median,line_orientation_45_std,line_orientation_45_min,line_orientation_45_max,line_orientation_90_count,line_orientation_90_mean,line_orientation_90_median,line_orientation_90_std,line_orientation_90_min,line_orientation_90_max,line_orientation_135_count,line_orientation_135_mean,line_orientation_135_median,line_orientation_135_std,line_orientation_135_min,line_orientation_135_max,is_monochrome_count,is_monochrome_mean,is_monochrome_median,is_monochrome_std,is_monochrome_min,is_monochrome_max,color_count_count,color_count_mean,color_count_median,color_count_std,color_count_min,color_count_max,mean_saturation_count,mean_saturation_mean,mean_saturation_median,mean_saturation_std,mean_saturation_min,mean_saturation_max,colorfulness_count,colorfulness_mean,colorfulness_median,colorfulness_std,colorfulness_min,colorfulness_max,foreground_background_contrast_count,foreground_background_contrast_mean,foreground_background_contrast_median,foreground_background_contrast_std,foreground_background_contrast_min,foreground_background_contrast_max,grid_foreground_0_0_count,grid_foreground_0_0_mean,grid_foreground_0_0_median,grid_foreground_0_0_std,grid_foreground_0_0_min,grid_foreground_0_0_max,grid_foreground_0_1_count,grid_foreground_0_1_mean,grid_foreground_0_1_median,grid_foreground_0_1_std,grid_foreground_0_1_min,grid_foreground_0_1_max,grid_foreground_0_2_count,grid_foreground_0_2_mean,grid_foreground_0_2_median,grid_foreground_0_2_std,grid_foreground_0_2_min,grid_foreground_0_2_max,grid_foreground_0_3_count,grid_foreground_0_3_mean,grid_foreground_0_3_median,grid_foreground_0_3_std,grid_foreground_0_3_min,grid_foreground_0_3_max,grid_foreground_1_0_count,grid_foreground_1_0_mean,grid_foreground_1_0_median,grid_foreground_1_0_std,grid_foreground_1_0_min,grid_foreground_1_0_max,grid_foreground_1_1_count,grid_foreground_1_1_mean,grid_foreground_1_1_median,grid_foreground_1_1_std,grid_foreground_1_1_min,grid_foreground_1_1_max,grid_foreground_1_2_count,grid_foreground_1_2_mean,grid_foreground_1_2_median,grid_foreground_1_2_std,grid_foreground_1_2_min,grid_foreground_1_2_max,grid_foreground_1_3_count,grid_foreground_1_3_mean,grid_foreground_1_3_median,grid_foreground_1_3_std,grid_foreground_1_3_min,grid_foreground_1_3_max,grid_foreground_2_0_count,grid_foreground_2_0_mean,grid_foreground_2_0_median,grid_foreground_2_0_std,grid_foreground_2_0_min,grid_foreground_2_0_max,grid_foreground_2_1_count,grid_foreground_2_1_mean,grid_foreground_2_1_median,grid_foreground_2_1_std,grid_foreground_2_1_min,grid_foreground_2_1_max,grid_foreground_2_2_count,grid_foreground_2_2_mean,grid_foreground_2_2_median,grid_foreground_2_2_std,grid_foreground_2_2_min,grid_foreground_2_2_max,grid_foreground_2_3_count,grid_foreground_2_3_mean,grid_foreground_2_3_median,grid_foreground_2_3_std,grid_foreground_2_3_min,grid_foreground_2_3_max,grid_foreground_3_0_count,grid_foreground_3_0_mean,grid_foreground_3_0_median,grid_foreground_3_0_std,grid_foreground_3_0_min,grid_foreground_3_0_max,grid_foreground_3_1_count,grid_foreground_3_1_mean,grid_foreground_3_1_median,grid_foreground_3_1_std,grid_foreground_3_1_min,grid_foreground_3_1_max,grid_foreground_3_2_count,grid_foreground_3_2_mean,grid_foreground_3_2_median,grid_foreground_3_2_std,grid_foreground_3_2_min,grid_foreground_3_2_max,grid_foreground_3_3_count,grid_foreground_3_3_mean,grid_foreground_3_3_median,grid_foreground_3_3_std,grid_foreground_3_3_min,grid_foreground_3_3_max
01_mcdougall_symbol_icon_set,McDougall Symbol/Icon Set,100,0.087857,0.071388,0.057821,0.016205,0.426208,100,0.0179,0.017296,0.007031,0.006577,0.041199,100,4.29,2.0,7.532147,1.0,51.0,100,485.74,493.0,175.761812,1.0,997.0,100,0.118589,0.120361,0.042911,0.000244,0.243408,100,1455.131365,132.933063,9200.66069,65.7332,65536.0,100,0.443944,0.404127,0.207955,0.109972,0.988393,100,0.799878,0.725191,0.312114,0.28655,3.12963,100,0.54194,0.525455,0.21708,0.112274,1.0,100,0.03125,0.025551,0.026542,0.000647,0.130231,100,0.575866,0.581529,0.272837,0.040693,0.998322,100,0.515626,0.476637,0.276418,0.056465,1.0,100,0.285004,0.265932,0.169468,0.037628,0.706461,100,0.790988,0.789937,0.098893,0.586008,0.963736,100,4.29,2.0,7.532147,1.0,51.0,100,7.06,2.0,13.60839,0.0,102.0,100,0.734366,1.0,0.304031,0.158021,1.0,100,0.346156,0.340755,0.189245,0.004652,0.951472,100,0.13771,0.119236,0.098959,0.0,0.39894,100,0.395124,0.406003,0.148842,0.0,0.927807,100,0.121009,0.110868,0.084214,0.001066,0.407325,100,0.02,0.0,0.140705,0.0,1.0,100,4.59,4.0,3.473115,1.0,22.0,100,0.0889,0.10253,0.028801,0.0081,0.114286,100,0.012607,0.007164,0.010986,0.004851,0.051723,100,0.765479,0.822779,0.146066,0.279893,0.937116,100,0.000952,0.0,0.009521,0.0,0.095215,100,0.024021,0.0,0.056211,0.0,0.404785,100,0.023296,0.0,0.055929,0.0,0.404785,100,0.000908,0.0,0.008887,0.0,0.088867,100,0.004399,0.0,0.026177,0.0,0.234375,100,0.307861,0.265747,0.195304,0.029297,0.979004,100,0.335742,0.299805,0.188187,0.056396,0.981934,100,0.004116,0.0,0.024743,0.0,0.21875,100,0.003818,0.0,0.024698,0.0,0.234375,100,0.319622,0.276978,0.189097,0.0,0.985352,100,0.322429,0.278198,0.192192,0.042725,0.978027,100,0.003379,0.0,0.02273,0.0,0.21875,100,0.001016,0.0,0.009536,0.0,0.095215,100,0.026885,0.0,0.058975,0.0,0.40625,100,0.026313,0.0,0.059551,0.0,0.404785,100,0.00095,0.0,0.00889,0.0,0.088867
02_aiga_dot_symbol_signs,AIGA/DOT Symbol Signs,80,0.409264,0.343353,0.176129,0.077469,0.95697,80,0.032025,0.029289,0.014326,0.0,0.0755,80,2.3375,2.0,2.19864,1.0,17.0,80,831.4,767.5,332.627537,208.0,1684.0,80,0.202979,0.187378,0.081208,0.050781,0.411133,80,92.54957,85.39708,41.410566,38.916865,315.076923,80,0.524391,0.492714,0.167958,0.183606,1.0,80,0.974034,1.0,0.259335,0.360784,1.637037,80,0.657425,0.607266,0.16801,0.381561,1.0,80,0.067893,0.050128,0.059395,0.0,0.210786,80,0.668937,0.788893,0.314746,0.082566,1.0,80,0.538124,0.452023,0.280218,0.085215,1.0,80,0.071796,0.067422,0.037656,0.016168,0.170573,80,0.934126,0.936843,0.032114,0.854282,0.984089,80,2.3375,2.0,2.19864,1.0,17.0,80,0.725,0.0,1.340461,0.0,4.0,80,0.741225,0.709716,0.164095,0.470446,1.0,80,0.301791,0.298017,0.159663,0.0,0.671947,80,0.157264,0.121046,0.131575,0.0,0.623515,80,0.330305,0.293999,0.199227,0.0,0.848561,80,0.17314,0.123168,0.145224,0.0,0.623515,80,0.9125,1.0,0.284349,0.0,1.0,80,4.7625,3.5,4.013407,1.0,17.0,80,0.061216,0.0,0.202762,0.0,1.0,80,0.035524,0.0,0.121964,0.0,0.52436,80,0.829687,0.952492,0.238932,0.0,1.0,80,0.184702,0.11084,0.219661,0.0,1.0,80,0.439981,0.427612,0.304388,0.0,1.0,80,0.451068,0.442993,0.283402,0.0,1.0,80,0.200266,0.182251,0.214199,0.0,1.0,80,0.349802,0.25415,0.3248,0.0,1.0,80,0.611539,0.65686,0.291208,0.010986,1.0,80,0.62742,0.6427,0.2884,0.03125,1.0,80,0.366565,0.333252,0.32715,0.0,1.0,80,0.366599,0.325195,0.297884,0.0,1.0,80,0.620813,0.642944,0.281121,0.004883,1.0,80,0.643771,0.662842,0.269309,0.098145,1.0,80,0.385654,0.35083,0.313491,0.0,1.0,80,0.220605,0.249268,0.218788,0.0,1.0,80,0.421509,0.435303,0.273715,0.0,1.0,80,0.437885,0.443604,0.262438,0.0,1.0,80,0.220053,0.189209,0.231592,0.0,1.0
03_mapbox_maki_icons,Mapbox Maki,100,0.529212,0.523972,0.101291,0.312363,0.730255,100,0.014587,0.013519,0.004881,0.004822,0.027237,100,1.06,1.0,0.277798,1.0,3.0,100,651.88,625.0,145.16506,376.0,1132.0,100,0.15915,0.152588,0.035441,0.091797,0.276367,100,105.372181,104.867265,22.735309,57.893993,174.297872,100,0.682745,0.685541,0.124191,0.444599,0.99866,100,1.029258,1.0,0.207132,0.577406,1.855072,100,0.830797,0.833335,0.102129,0.60772,1.0,100,0.050832,0.043754,0.040847,0.0,0.168171,100,0.824533,0.984784,0.222555,0.18795,1.0,100,0.659014,0.648696,0.192172,0.186869,1.0,100,0.03664,0.036385,0.008748,0.019466,0.06241,100,0.964723,0.964893,0.008121,0.941256,0.980905,100,1.06,1.0,0.277798,1.0,3.0,100,1.14,1.0,1.504337,0.0,8.0,100,0.904215,1.0,0.113169,0.666985,1.0,100,0.408818,0.404506,0.192911,0.036324,0.893329,100,0.128491,0.103631,0.103856,0.002973,0.543357,100,0.338265,0.32734,0.172266,0.056932,0.876472,100,0.124426,0.098377,0.096098,0.00311,0.452336,100,1.0,1.0,0.0,1.0,1.0,100,7.0,7.0,0.0,7.0,7.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.590383,0.603156,0.087897,0.329613,0.801948,100,0.203696,0.188965,0.198334,0.0,0.734131,100,0.526873,0.543213,0.252765,0.0,1.0,100,0.541316,0.548706,0.230046,0.0,1.0,100,0.226611,0.23584,0.207128,0.0,0.804932,100,0.496843,0.527466,0.284337,0.0,1.0,100,0.849077,0.916748,0.200081,0.140625,1.0,100,0.856082,0.930054,0.191742,0.143066,1.0,100,0.508721,0.554321,0.276344,0.0,1.0,100,0.513381,0.563232,0.290842,0.0,1.0,100,0.829304,0.901001,0.211164,0.143066,1.0,100,0.826948,0.904175,0.20305,0.14502,1.0,100,0.478076,0.529541,0.305834,0.0,1.0,100,0.284229,0.262085,0.232796,0.0,0.906982,100,0.559431,0.60144,0.260487,0.0,1.0,100,0.528865,0.594849,0.271018,0.0,0.983398,100,0.237939,0.248535,0.200889,0.0,0.746826
04_ocha_humanitarian_icons,OCHA Humanitarian Icons,100,0.617458,0.625046,0.201029,0.270752,0.960938,100,0.02122,0.021202,0.008824,0.003906,0.044586,100,2.68,1.0,2.514122,1.0,14.0,100,694.12,652.0,379.953088,16.0,1474.0,100,0.169463,0.15918,0.092762,0.003906,0.359863,100,181.391405,100.517466,429.283371,44.46133,4096.0,100,0.702927,0.631126,0.273561,0.270752,1.0,100,0.954411,1.0,0.155205,0.421875,1.446328,100,0.776256,0.74048,0.214508,0.361484,1.0,100,0.052474,0.002773,0.069485,0.0,0.233041,100,0.826261,0.991477,0.265847,0.135526,1.0,100,0.706767,0.948861,0.327099,0.108405,1.0,100,0.048557,0.046838,0.030863,0.015943,0.125262,100,0.9545,0.955258,0.027757,0.888682,0.984308,100,2.68,1.0,2.514122,1.0,14.0,100,0.72,0.0,1.16411,0.0,5.0,100,0.795643,0.865409,0.149034,0.499476,1.0,100,0.302631,0.262319,0.165909,0.008058,0.735418,100,0.189224,0.187787,0.102648,0.022177,0.508625,100,0.323375,0.313283,0.147076,0.013547,0.684999,100,0.18477,0.187028,0.098361,0.025034,0.483495,100,1.0,1.0,0.0,1.0,1.0,100,7.42,7.0,0.496045,7.0,8.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.736584,0.849523,0.214598,0.190357,0.986524,100,0.498616,0.55481,0.3173,0.0,0.997559,100,0.63729,0.656738,0.311796,0.0,1.0,100,0.623118,0.71875,0.349394,0.0,1.0,100,0.441218,0.451294,0.317269,0.0,0.981201,100,0.545425,0.53125,0.314925,0.0,1.0,100,0.721055,0.785278,0.291441,0.0,1.0,100,0.739941,0.789062,0.291332,0.0,1.0,100,0.539324,0.54541,0.323428,0.0,1.0,100,0.539822,0.510254,0.332198,0.0,1.0,100,0.791833,0.838623,0.225086,0.07959,1.0,100,0.821836,0.885498,0.204477,0.239014,1.0,100,0.610186,0.608765,0.299014,0.0,1.0,100,0.479319,0.467773,0.29765,0.0,1.0,100,0.687576,0.709229,0.291155,0.028809,1.0,100,0.704114,0.75,0.269981,0.017334,1.0,100,0.498662,0.492676,0.306435,0.0,1.0
05_mulberry_symbols,Mulberry Symbols,100,0.323759,0.302734,0.135829,0.107285,0.596603,100,0.027642,0.025963,0.012445,0.009323,0.062393,100,2.06,1.0,2.799062,1.0,21.0,100,713.5,661.0,250.540325,328.0,1591.0,100,0.174194,0.161377,0.061167,0.080078,0.388428,100,101.997325,99.146747,32.144496,41.191703,199.804878,100,0.538259,0.52035,0.152826,0.207005,0.828275,100,0.967993,0.96803,0.264342,0.433333,2.264151,100,0.69032,0.665495,0.185539,0.24859,1.0,100,0.05975,0.046396,0.05047,0.001568,0.209575,100,0.671238,0.706132,0.271839,0.069233,0.999792,100,0.564994,0.556461,0.243123,0.100719,0.995322,100,0.080823,0.0677,0.056552,0.022814,0.268241,100,0.92752,0.936593,0.044476,0.788494,0.977695,100,2.06,1.0,2.799062,1.0,21.0,100,2.29,1.0,3.880266,0.0,19.0,100,0.826937,0.843005,0.177796,0.317872,1.0,100,0.320999,0.30914,0.125448,0.084568,0.640716,100,0.160344,0.167716,0.094764,0.005546,0.405224,100,0.36014,0.346793,0.166032,0.012641,0.849571,100,0.158517,0.175456,0.090601,0.008374,0.405412,100,0.02,0.0,0.140705,0.0,1.0,100,35.98,36.0,19.556177,7.0,84.0,100,0.385572,0.436278,0.160536,0.0,0.735651,100,0.260656,0.251668,0.177794,0.0,0.588227,100,0.597918,0.63606,0.151589,0.207387,0.767229,100,0.050869,0.021851,0.069653,0.0,0.351562,100,0.297583,0.26123,0.203385,0.0,0.730713,100,0.294324,0.264404,0.187175,0.0,0.780518,100,0.093567,0.047852,0.119178,0.0,0.511719,100,0.24186,0.184448,0.231926,0.0,0.753662,100,0.660208,0.663452,0.285036,0.0,1.0,100,0.615632,0.621338,0.267128,0.0,1.0,100,0.253257,0.213257,0.223738,0.0,0.749756,100,0.285659,0.244995,0.237064,0.0,0.71875,100,0.707434,0.718018,0.267546,0.0,1.0,100,0.63175,0.636597,0.284579,0.03125,1.0,100,0.225273,0.145874,0.231383,0.0,0.717041,100,0.097378,0.064331,0.124148,0.0,0.572754,100,0.353296,0.300781,0.222777,0.0,0.796875,100,0.309712,0.274414,0.223446,0.0,0.803711,100,0.062341,0.038086,0.086317,0.0,0.467773
06_blissymbolics,Blissymbolics,100,0.388477,0.429688,0.138161,0.070312,0.808594,100,0.009556,0.009178,0.005005,0.000839,0.025452,100,1.0,1.0,0.0,1.0,1.0,100,374.08,376.0,13.507708,280.0,376.0,100,0.091328,0.091797,0.003298,0.068359,0.091797,100,175.493058,174.297872,8.408446,174.297872,234.057143,100,1.0,1.0,0.0,1.0,1.0,100,0.388477,0.429688,0.138161,0.070312,0.808594,100,1.0,1.0,0.0,1.0,1.0,100,0.000804,0.0,0.001265,0.0,0.002773,100,0.989678,1.0,0.01749,0.947368,1.0,100,1.0,1.0,0.0,1.0,1.0,100,0.032383,0.025994,0.015276,0.017474,0.118924,100,0.968834,0.974664,0.013763,0.893716,0.982826,100,1.0,1.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,100,0.800213,0.827846,0.062911,0.512456,0.877351,100,0.302131,0.300291,0.177974,0.016591,0.791093,100,0.221234,0.205861,0.133244,0.017342,0.566078,100,0.26057,0.243376,0.195696,0.010649,0.876863,100,0.216065,0.20274,0.141799,0.017173,0.842553,100,1.0,1.0,0.0,1.0,1.0,100,8.0,8.0,0.0,8.0,8.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.070558,0.068245,0.027262,0.022531,0.165497,100,0.027031,0.0,0.098743,0.0,0.625,100,0.752188,0.859375,0.227829,0.140625,1.0,100,0.747969,0.859375,0.233586,0.140625,1.0,100,0.026719,0.0,0.096837,0.0,0.609375,100,0.027031,0.0,0.098743,0.0,0.625,100,0.752188,0.859375,0.227829,0.140625,1.0,100,0.747969,0.859375,0.233586,0.140625,1.0,100,0.026719,0.0,0.096837,0.0,0.609375,100,0.027031,0.0,0.098743,0.0,0.625,100,0.752188,0.859375,0.227829,0.140625,1.0,100,0.747969,0.859375,0.233586,0.140625,1.0,100,0.026719,0.0,0.096837,0.0,0.609375,100,0.027031,0.0,0.098743,0.0,0.625,100,0.752188,0.859375,0.227829,0.140625,1.0,100,0.747969,0.859375,0.233586,0.140625,1.0,100,0.026719,0.0,0.096837,0.0,0.609375
07_arasaac_pictograms,ARASAAC Pictograms,100,0.376196,0.371315,0.189339,0.073929,0.946548,100,0.040867,0.041649,0.016629,0.010513,0.085327,100,15.64,2.0,54.350624,1.0,372.0,100,792.07,734.5,267.252586,370.0,1711.0,100,0.193376,0.179321,0.065247,0.090332,0.417725,100,91.496324,89.225695,28.236885,38.302747,177.124324,100,0.503351,0.51385,0.21457,0.090984,1.0,100,0.990044,1.0,0.262594,0.273092,2.114035,100,0.645033,0.704142,0.237148,0.107212,1.0,100,0.117649,0.104166,0.088172,0.002765,0.443203,100,0.532959,0.511474,0.285861,0.045307,1.0,100,0.455729,0.428389,0.230706,0.026731,0.999837,100,0.12566,0.061578,0.179564,0.016194,1.093746,100,0.903794,0.941994,0.099645,0.477613,0.984064,100,15.64,2.0,54.350624,1.0,372.0,100,2.1,1.0,5.070214,0.0,47.0,100,0.714599,0.74347,0.258108,0.102564,1.0,100,0.306916,0.286327,0.13354,0.075629,0.826373,100,0.182929,0.174684,0.075229,0.04848,0.511518,100,0.330441,0.339488,0.140199,0.029757,0.744246,100,0.179714,0.16319,0.079176,0.022072,0.465756,100,0.01,0.0,0.1,0.0,1.0,100,50.86,43.0,28.630005,13.0,155.0,100,0.410256,0.446783,0.226986,0.005977,0.87762,100,0.381772,0.421714,0.203571,0.018963,0.781666,100,0.452076,0.459777,0.16785,0.105494,0.890534,100,0.155039,0.051636,0.217438,0.0,0.893799,100,0.319182,0.257446,0.294942,0.0,0.9375,100,0.254421,0.193115,0.252993,0.0,0.939453,100,0.123699,0.028564,0.203106,0.0,0.878906,100,0.317527,0.254028,0.302842,0.0,0.953125,100,0.622661,0.6427,0.308711,0.016357,1.0,100,0.58925,0.635376,0.309189,0.0,1.0,100,0.296516,0.17041,0.300103,0.0,0.953125,100,0.344949,0.330811,0.306945,0.0,0.953125,100,0.664299,0.753906,0.321375,0.013916,1.0,100,0.664688,0.745361,0.320402,0.012939,1.0,100,0.356414,0.313721,0.308624,0.0,0.953125,100,0.21561,0.0625,0.293263,0.0,0.908447,100,0.421709,0.410034,0.301633,0.0,0.95459,100,0.415159,0.382446,0.319139,0.0,0.953125,100,0.258013,0.095947,0.312519,0.0,0.893555
08_ghs_hazard_pictograms,GHS Hazard Pictograms,9,0.224798,0.178116,0.106924,0.151718,0.496094,9,0.028663,0.029282,0.010212,0.016953,0.046265,9,9.444444,3.0,12.62053,1.0,40.0,9,1179.666667,1324.0,328.912222,376.0,1453.0,9,0.288005,0.323242,0.080301,0.091797,0.354736,9,65.38653,49.498489,41.227658,45.103923,174.297872,9,0.228352,0.180932,0.108614,0.154117,0.503937,9,1.0,1.0,0.0,1.0,1.0,9,0.455839,0.361875,0.21473,0.308243,1.0,9,0.010863,0.010511,0.007169,0.0,0.020877,9,0.874949,0.847454,0.085186,0.776501,1.0,9,0.775038,0.743028,0.115911,0.613218,1.0,9,0.221833,0.216967,0.092908,0.03125,0.347345,9,0.822916,0.821715,0.066504,0.7422,0.969697,9,9.444444,3.0,12.62053,1.0,40.0,9,2.555556,1.0,2.74368,0.0,7.0,9,0.563435,0.398368,0.289108,0.303371,1.0,9,0.160955,0.151157,0.067661,0.057019,0.252741,9,0.343236,0.345827,0.04686,0.279759,0.430826,9,0.144634,0.136632,0.075775,0.023802,0.260288,9,0.351175,0.360334,0.033783,0.294762,0.398319,9,0.0,0.0,0.0,0.0,0.0,9,3.555556,2.0,4.666667,2.0,16.0,9,0.619105,0.681584,0.155389,0.222383,0.734927,9,0.497123,0.513324,0.038661,0.418497,0.530257,9,0.614999,0.643121,0.140848,0.262055,0.750845,9,0.0,0.0,0.0,0.0,0.0,9,0.289849,0.254883,0.079243,0.250488,0.492188,9,0.29088,0.254639,0.07911,0.250488,0.492188,9,0.0,0.0,0.0,0.0,0.0,9,0.277371,0.250488,0.080556,0.250488,0.492188,9,0.344482,0.265137,0.266467,0.116211,1.0,9,0.360894,0.297852,0.259679,0.113525,1.0,9,0.278049,0.250488,0.080318,0.250488,0.492188,9,0.283854,0.250488,0.080492,0.250488,0.492188,9,0.330729,0.248779,0.287191,0.118408,1.0,9,0.296984,0.152832,0.312423,0.066406,1.0,9,0.277452,0.250488,0.080526,0.250488,0.492188,9,0.0,0.0,0.0,0.0,0.0,9,0.283447,0.250488,0.080358,0.250488,0.492188,9,0.282769,0.250488,0.080175,0.250488,0.492188,9,0.0,0.0,0.0,0.0,0.0
09_universal_symbols_healthcare_webfont,Universal Symbols Healthcare Webfont,100,0.649506,0.574783,0.235727,0.222275,0.984375,100,0.030843,0.031769,0.009902,0.008224,0.05632,100,2.23,1.5,2.102692,1.0,16.0,100,824.59,901.0,497.956087,1.0,1684.0,100,0.201316,0.219971,0.121571,0.000244,0.411133,100,13816.335339,72.736959,26799.969765,38.916865,65536.0,100,0.701818,0.667697,0.205236,0.276813,1.0,100,0.975041,0.992188,0.185984,0.53937,1.769231,100,0.785654,0.787994,0.157491,0.413286,1.0,100,0.052488,0.025869,0.05745,0.0,0.276749,100,0.762855,0.859028,0.245023,0.16059,1.0,100,0.654587,0.672511,0.276541,0.149332,1.0,100,0.05641,0.055964,0.029782,0.015749,0.118564,100,0.947345,0.947002,0.026606,0.894003,0.984495,100,2.23,1.5,2.102692,1.0,16.0,100,3.53,2.0,4.761918,0.0,25.0,100,0.882545,1.0,0.152248,0.515401,1.0,100,0.331924,0.318724,0.130513,0.03479,0.618784,100,0.14117,0.13634,0.071351,0.013861,0.392531,100,0.385885,0.401421,0.134456,0.115811,0.86159,100,0.141022,0.131545,0.070405,0.005951,0.378713,100,1.0,1.0,0.0,1.0,1.0,100,7.21,7.0,0.40936,7.0,8.0,100,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,100,0.738714,0.785755,0.174386,0.150796,0.929888,100,0.53072,0.590576,0.412553,0.0,0.96875,100,0.664312,0.736816,0.308089,0.0,1.0,100,0.669109,0.678589,0.309281,0.0,1.0,100,0.510872,0.459839,0.414319,0.0,0.96875,100,0.604868,0.657471,0.367758,0.0,1.0,100,0.714446,0.727905,0.248272,0.015137,1.0,100,0.722727,0.736816,0.247394,0.102295,1.0,100,0.630381,0.671631,0.345439,0.0,1.0,100,0.648179,0.737183,0.334364,0.0,1.0,100,0.704402,0.734619,0.26278,0.0,1.0,100,0.716548,0.740356,0.251829,0.01416,1.0,100,0.692275,0.77356,0.301629,0.0,1.0,100,0.548914,0.603516,0.4011,0.0,0.973389,100,0.693809,0.779053,0.315066,0.0,1.0,100,0.72606,0.759766,0.265775,0.0,1.0,100,0.61448,0.700317,0.363079,0.0,1.0
10_openmoji,OpenMoji,100,0.432354,0.478157,0.104089,0.017944,0.546448,100,0.024968,0.026085,0.008213,0.008606,0.041031,100,1.4,1.0,0.738549,1.0,4.0,100,802.03,826.0,263.296754,1.0,1354.0,100,0.195808,0.20166,0.064281,0.000244,0.330566,100,743.369382,79.341404,6544.764244,48.401773,65536.0,100,0.830245,0.932319,0.214791,0.18643,0.999528,100,1.368776,1.589041,0.427472,0.644068,4.368421,100,0.848682,0.943094,0.195919,0.192882,1.0,100,0.009879,0.000706,0.021083,0.0,0.118738,100,0.929505,0.996748,0.107414,0.461477,1.0,100,0.926844,0.992528,0.1272,0.443114,1.0,100,0.061091,0.045016,0.073771,0.021669,0.673469,100,0.945739,0.956923,0.049075,0.597561,0.978791,100,1.4,1.0,0.738549,1.0,4.0,100,2.25,1.0,3.43886,0.0,18.0,100,0.88324,1.0,0.152703,0.427169,1.0,100,0.493479,0.504636,0.118833,0.216892,0.723349,100,0.059048,0.034668,0.06496,0.005673,0.259819,100,0.385564,0.368627,0.077347,0.233051,0.589733,100,0.061909,0.034926,0.074212,0.005673,0.368504,100,0.13,0.0,0.337998,0.0,1.0,100,39.84,32.0,27.243281,1.0,123.0,100,0.462893,0.553442,0.219749,0.0,0.710905,100,0.361535,0.42203,0.17202,0.0,0.603655,100,0.583546,0.599142,0.120543,0.369418,1.0,100,0.119558,0.113281,0.038737,0.0,0.176758,100,0.238184,0.140625,0.142696,0.0,0.84375,100,0.237456,0.140625,0.142614,0.0,0.84375,100,0.119363,0.113281,0.038825,0.0,0.176758,100,0.575054,0.647827,0.231018,0.024902,0.8125,100,0.791948,0.833618,0.240644,0.046875,1.0,100,0.772759,0.9198,0.272961,0.046875,1.0,100,0.565662,0.607178,0.239778,0.024902,0.8125,100,0.580894,0.66272,0.241589,0.024902,0.8125,100,0.807573,0.946167,0.247878,0.046875,1.0,100,0.808596,0.955322,0.247302,0.046875,1.0,100,0.583467,0.626953,0.236326,0.024902,0.8125,100,0.119451,0.113281,0.038802,0.0,0.177002,100,0.238796,0.140625,0.142271,0.0,0.84375,100,0.239304,0.140625,0.142228,0.0,0.84375,100,0.119607,0.113281,0.038792,0.0,0.177002
