appendix_item,label,concreteness,complexity,familiarity,meaningfulness,semantic_distance,complexity_metric,concept_agreement,name_agreement,common_response,source_page,ocr_confidence,verified
1,Add task,2.47,2.55,3.05,3.45,2.03,2,0.00,42.50,correct,9,91.59,false
2,Added fabric web width,2.27,2.80,1.93,1.98,1.89,14,0.00,7.50,narrowing,9,85.68,false
3,Adjust contrast,2.68,1.55,3.20,2.93,2.50,2,5.00,7.50,colour,9,85.66,false
4,Air cooled condenser,4.85,3.50,1.75,1.33,1.56,7,0.00,5.00,magnet,9,84.45,false
5,Air vent - right and left outlets,1.98,2.60,2.05,2.10,2.57,10,7.50,15.00,exits,9,90.02,false
6,Airborne troops,2.80,1.18,3.00,2.65,1.57,2,2.50,37.50,ice cream,9,88.44,false
7,Airbrush,2.22,3.90,1.55,1.60,2.24,16,7.50,7.50,,9,94.68,false
8,All operators,2.80,2.10,2.50,2.50,1.74,4,0.00,17.50,people,9,91.84,false
9,American health service,2.70,3.97,2.70,2.28,4.60,6,0.00,10.00,medical,9,89.22,false
10,Apple computer,2.93,4.13,1.98,1.70,1.64,14,5.00,5.00,,9,88.19,false
11,Arc ignition by contact,3.13,2.37,2.65,2.35,1.68,8,0.00,20.00,tap,10,90.94,false
12,Archive,2.15,3.47,1.90,1.50,1.50,7,0.00,5.00,bundle of wood,10,92.26,false
13,Atomic site,3.18,2.53,3.73,2.78,2.31,4,2.50,20.00,atom,10,93.48,false
14,Automatic control (closed loop),1.85,2.73,1.93,1.68,1.39,4,0.00,10.00,spinning,10,89.60,false
15,Axe,3.85,1.25,3.12,3.30,3.95,2,40.00,40.00,,10,84.38,false
16,Baggage lockers,4.27,2.58,4.13,3.87,4.14,5,55.00,55.00,,10,86.26,false
17,Balance,2.50,2.38,2.60,3.17,3.86,4,37.50,37.50,,10,91.74,false
18,Beating process of fabrics,2.55,2.22,1.65,1.48,1.40,7,0.00,5.00,bomb,10,89.15,false
19,Belt drive,3.38,1.68,3.10,2.51,2.90,6,0.00,57.50,pulley,10,85.23,false
20,Ben ding,2.00,3.40,1.65,1.35,2.74,5,2.50,2.50,,10,93.23,false
21,Binary file,3.88,3.88,2.45,2.28,2.88,51,20.00,20.00,,11,89.07,false
22,Biohazard,3.65,3.65,2.45,1.85,1.48,6,5.00,5.00,,11,92.55,false
23,Bitmap,2.33,2.93,2.27,1.68,1.85,12,0.00,17.50,game,11,91.83,false
24,Blow moulding,4.65,1.13,4.33,3.88,1.35,1,0.00,60.00,bottle,11,89.96,false
25,Break glass to access,3.63,3.20,3.02,2.80,3.31,5,7.50,15.00,revolution,11,93.06,false
26,Bridging troops,2.12,1.65,2.87,2.13,1.61,2,27.50,27.50,,11,89.60,false
27,Brushing by means of brush belt,3.03,2.20,2.20,1.95,1.98,14,0.00,12.50,cog,11,91.04,false
28,Building,4.70,3.88,3.88,3.53,4.67,11,70.00,70.00,,11,89.57,false
29,Button,2.53,2.73,2.50,1.95,2.74,2,17.50,17.50,,11,88.53,false
30,Calendar,4.30,3.15,3.22,2.90,3.45,14,22.00,22.50,,11,88.76,false
31,Cancer,4.52,3.42,3.23,3.73,2.50,13,12.50,90.00,crab,12,88.50,false
32,Cartoons,3.83,3.70,2.43,2.73,2.10,11,0.00,20.00,man,12,91.04,false
33,CD-interactive,3.35,3.35,1.82,1.90,2.00,17,0.00,17.50,cD,12,88.86,false
34,Centre alig nment,1.90,1.90,2.05,1.70,2.52,2,0.00,5.00,battery,12,91.04,false
35,Centre of gravity,4.40,2.55,1.78,2.43,1.76,6,0.00,15.00,15 00 target,12,88.08,false
36,Chain reaction,4.72,3.38,3.58,3.58,3.00,8,10.00,67.50,dominoes,12,91.47,false
37,Chain saw,3.48,2.47,2.95,3.03,3.05,10,42.50,42.50,,12,87.15,false
38,Chemistry,4.83,3.25,4.10,3.78,3.90,12,40.00,40.00,,12,92.36,false
39,Chess,4.60,3.43,4.45,4.18,4.38,8,82.50,82.50,,12,87.96,false
40,Choke,2.40,1.80,3.20,2.35,1.90,4,15.00,15.00,,12,91.86,false
41,Christianity,4.50,3.95,4.10,4.10,3.71,10,0.00,67.50,Jesus,13,87.80,false
42,Clean edge pins,2.02,3.10,1.60,1.42,1.38,6,0.00,5.00,microscope,13,93.08,false
43,Cleaning of chain-link,2.28,2.87,1.70,1.57,1.39,6,0.00,12.50,microscope,13,92.39,false
44,Closed,3.20,3.33,2.60,2.63,2.86,22,10.00,12.50,boarded up,13,93.80,false
45,Cloth track steaming,1.85,2.38,1.72,1.68,1.71,5,0.00,5.00,evaporation,13,91.71,false
46,Co-operate,4.35,2.90,3.93,4.10,3.14,6,0.00,22.50,racial equality,13,89.66,false
47,Cockpit,2.65,4.60,1.73,1.65,2.55,26,0.00,7.50,computer,13,92.26,false
48,Colour area,4.47,3.35,3.40,3.23,2.95,6,2.50,20.00,paint,13,93.56,false
49,Colour temperatu re lamp,3.80,1.92,3.80,3.43,1.81,10,0.00,40.00,light,13,90.47,false
50,Communication,4.30,1.93,3.90,3.58,3.14,3,5.00,52.50,satellite,13,88.84,false
51,Compress file,3.55,4.23,2.30,2.23,3.05,23,7.50,65.00,vice,14,84.64,false
52,Confucianism,1.65,3.82,1.45,1.35,1.32,13,0.00,2.50,,14,90.71,false
53,Connect,4.35,2.90,3.58,3.56,3.34,11,25.00,2.00,,14,84.86,false
54,Convert multiple files,1.92,3.73,1.55,1.48,1.55,26,0.00,7.50,computer game,14,91.26,false
55,Conveyer belt,2.65,1.40,2.45,2.18,2.71,4,12.50,12.50,,14,86.35,false
56,Creel,1.00,2.75,1.83,1.73,1.17,2,0.00,7.50,molecules,14,81.26,false
57,Crop,1.87,2.50,1.80,1.38,1.25,4,2.50,2.50,,14,88.54,false
58,Cube,4.20,1.50,3.75,3.00,4.86,3,35.00,35.00,,14,89.41,false
59,Currency exchan ge,2.08,2.08,3.87,3.90,3.07,8,10.00,70.00,money,14,94.35,false
60,Dam,3.03,3.05,3.48,3.95,3.95,8,22.50,22.50,,14,92.01,false
61,Dangerous voltage,3.93,1.23,4.52,4.18,2.79,1,10.00,32.50,lightning,15,94.33,false
62,Debug,4.32,4.00,3.20,3.55,3.48,15,2.50,45.00,insecticide,15,88.63,false
63,D ebug,4.33,2.98,3.20,3.40,1.93,14,0.00,30.00,ladybird,15,92.48,false
64,Desk set,2.25,4.20,1.80,1.60,1.95,40,0.00,10.00,computer,15,83.00,false
65,Device driver,1.82,2.18,2.20,4.28,1.41,2,0.00,2.50,,15,85.87,false
66,Diagnose,4.47,2.05,3.57,3.47,2.67,1,0.00,45.00,stethoscope,15,93.46,false
67,Diamond extraction,2.68,2.28,2.40,2.88,2.61,6,45.00,45.00,,15,89.50,false
68,Discard files,3.78,1.95,3.10,3.58,2.40,5,0.00,40.00,dustbin,15,90.96,false
69,Distressed vessel,3.45,2.35,2.98,3.05,3.31,3,0.00,32.50,rough seas,15,88.17,false
70,Diver,2.15,2.38,1.83,1.45,1.56,5,2.50,5.00,front of train,15,91.00,false
71,Draw,3.25,2.65,2.60,2.52,2.52,3,0.00,20.00,fireworks,16,93.11,false
72,Earthing point,2.18,2.00,2.58,2.18,1.58,4,15.00,45.00,,16,91.59,false
73,Educate,3.75,2.25,3.10,3.33,3.12,3,10.00,30.00,graduation,16,88.68,false
74,Eject,2.40,1.45,3.43,2.85,2.43,2,30.00,30.00,,16,91.27,false
75,Electric shaver outlet,3.52,2.55,3.35,3.08,3.50,12,0.00,57.50,shave,16,89.61,false
76,Electric transmission,4.40,3.63,4.45,4.20,3.48,22,0.00,55.00,electricity pylons,16,90.35,false
77,Electrical loop,1.60,2.38,1.48,1.43,1.95,3,2.50,7.50,maze,16,90.74,false
78,Electrical p reci pitator,2.25,2.65,1.92,2.16,1.17,14,0.00,15.00,stairs,16,85.61,false
79,End of reel,1.92,2.45,1.70,1.60,2.17,3,0.00,5.00,right turns,16,89.44,false
80,Engage pile- raising roller,2.32,3.20,2.08,1.79,1.92,18,0.00,12.50,water mill,16,91.78,false
81,Engagement of seat belt,2.85,2.85,3.90,4.27,4.26,5,80.00,80.00,,17,92.18,false
82,Entrance,1.70,1.70,2.60,2.60,3.36,3,45.00,45.00,,17,94.20,false
83,Equipotent ials,2.40,3.82,3.15,2.98,2.78,2,0.00,30.00,magnetic field,17,87.32,false
